id,twitter_id,handles,degree_range,snapshot_range
460,1139451418975330305,"neokliskritikos",16-43,"19-48"
461,849286834337271808,"BoutsikakisChr",371-1438,"19-48"
462,409149518,"tsigris_angelos",927-1190,"19-48"
463,773986323422146561,"sokrvardakis",1795-3218,"19-48"
464,3405878033,"chrysomallism",361-491,"19-48"
465,1150482424134086659,"KiriakiMalama",83-814,"19-48"
466,1224671498,"marilizaxen",843-923,"19-48"
467,253261560,"DKouvelas",561-818,"19-48"
468,583853188,"NatasaGkara",127-1726,"19-48"
469,2960910021,"giorgostsipras",1216-3957,"19-48"
470,191033632,"KaminisG",26871-27124,"19-48"
471,1165984732045369344,"kostasmpoumpas",236-538,"32-48"
472,801796590117801984,"ChVernardakis",4224-5619,"32-48"
473,771362088702836737,"xtarantilis",683-1937,"32-35"
474,501969331,"AntMylonakis",735-1441,"32-48"
475,1153988844498444288,"MariaAt03902914",149-427,"32-48"
476,1302266183790604290,"B3Vagenas",30-85,"32-48"
477,1134005835452076033,"papakostakater",32-269,"32-48"
478,1161547840449130497,"a_avlonitis",11-232,"32-48"
479,970306790,"sakis_papad",609-638,"32-48"
480,1219343130065014792,"ApatzidiM",787-2190,"32-38"
481,1168241295149740038,"anaik2020",309-601,"32-48"
482,1325311602,"anikolakopoulos",629-997,"32-48"
483,1254725873456078855,"avdelas_ap",108-234,"32-48"
484,1205419430781628416,"amanatidis_g",36-52,"32-48"
485,1177124881688866816,"BurhanBaranDr",216-497,"32-48"
486,1192464378240614400,"Xanthopoulosth",196-849,"32-48"
487,1179294218088599552,"GVaremenos",46-525,"32-48"
488,1173581893079576580,"pkappatos",265-651,"32-48"
489,347951559,"AndreasPoulas",301-659,"32-48"
490,1246802753759952899,"manolakosnik",142-393,"32-48"
491,1232684640202317825,"spyroslappas1",60-163,"32-48"
